party,candidate_number,candidate_name,votes
,13,"Jacobs, H.",21
,14,"Boskamp, H.",33
,15,"Sieben, M.W.",17
,16,"Scholte, E.",6
,17,"Verschoor, B.B.",19
,18,"Russcher, T.K.",24
,19,"Dekker, R.J.",18
,20,"Jansen, F.J.H.",73
,21,"Baudet, T.H.P.",2064
9 CDA,1,"Boomsma, D.T.",5620
,2,"Havelaar, R.B.",264
,3,"Wijmenga, R.P.",731
,4,"Essakkati, H.",122
,5,"Hilders-van de Wetering, K.F.",486
,6,"van Drooge, A.H.",114
,7,"Cicilson, E.J.",43
,8,"Cherradi Benssebahe, I.",34
,9,"Limburg, J.M.",41
,10,"Engels, R.M.",57
,11,"van Helden, T.J.A.G.",42
,12,"Lochtenberg, L.J.J.",25
,13,"van Braak, H.",11
,14,"Koet, B.J.B.",31
,15,"Badal, L.",31
,16,"van Hellenberg Hubar, A.J.G.S.M.",14
,17,"de Roy van Zuidewijn-Rive, S.C.T.",68
,18,"Stevens, L.C.A.",18
,19,"Runjevac, T.",28
,20,"Michel, B.C.",10
,21,"Cohen de Lara, E.",26
,22,"Hoeve-Zwarthoed, A.A.C.M.",61
,23,"Koppejan, H.S.C.",16
,24,"van Geijn, F.H.M.A.",3
,25,"Braber, A.E.",6
,26,"Holland, G.F.J.",10
,27,"de Groot-Wasser, J.J.M.",22
,28,"Rossen, G.L.",10
,29,"Janssen, M.J.F.M.",4
,30,"Boukhoubza, L.",22
,31,"Sluijk, C.",40
,32,"van der Meulen, J.L.",15
,33,"Burggraaff, H.B.",148
,34,"SchrÃ¶der, A.E",12
,35,"van Baars, J.",5
,36,"Hilders, W.J.",9
,37,"Wouda, P.H.T.",11
,38,"de Jong, M.",12
,39,"van Oosterhout, B.D.",16
,40,"van der Hoeven, J.J.",13
,41,"Ross-van Dorp, C.I.J.M.",19
10 Partij van de Ouderen (P.v.d.O.),1,"van Soest, W.",4070
,2,"van de Kamp, L.",364
,3,"Overweg, D.W.",209
,4,"Kerklingh, H.K.",29
,5,"van Meetelen, F.",77
,6,"Lof, S.M.",85
,7,"Bong, H.M.",54
,8,"Wouters, J.A.J.",90
,9,"Aamarou, Y.",31
,10,"Hamstra, J.",44
,11,"Boerlijst-Bakker, J.",111
,12,"den Dekker, G.",28
,13,"Meijer, N.",41
,14,"Grift, R.G.",10
,15,"Aberkrom, P.",27
,16,"van Oudenallen, H.F.M.",108
11 ChristenUnie,1,"van den Heuvel, G.J.J.",1690
,2,"Da Costa, G.J.",269
,3,"de Bruine, H.M.",552
,4,"Verwijs, M.W.",104
,5,"La, C.D.",125
,6,"van Rossum, L.Z.F.",35
,7,"Agyeman, K.B.",667
,8,"van Bokhorst, A.C.W.",34
,9,"Buit, Y.B.",53
,10,"Klein, A.C.",41
,11,"Goodett, L.K.M.H.",58
,12,"Groenendaal-Zwanenburg, A.M.",34
,13,"Kuiper-de Haan, T",41
,14,"Huisman, S.S.",20
,15,"Meerwijk-Elsau, M.R.",19
,16,"Bor, D.S.",19
,17,"Hofsink, I.H.",14
,18,"Janssen, G.O.",34
,19,"Hoffman, C.E.A.J.",55
,20,"de Snoo, T.",21
,21,"Kamphuis-Vavier, M.W.D.",19
,22,"Husain-Cornelissen, L.B.",7
,23,"Frederiksen, A.",6
,24,"Brinksma, P.J.",10
,25,"den Uijl-Kolk, M.J.",5
,26,"Van humbeeck, D.",6
,27,"den Hertog, P.J.",11
,28,"Koster-Poelman, A.M.B.",20
,29,"Visser, C.J.",15
,30,"Bezemer, J.",6
,31,"Janssen, D.J.",15
,32,"Hart, E.J.",55
,33,"Putters-van der Heide, B.",9
,34,"Schultz, E.E.",30
,35,"Zeijl, J.E.",16
,36,"Bosshardt, P.C.",11
,37,"Westert, G.W.",9
,38,"Acuner, S.B.",11
,39,"van Essen, H.J.",7
,40,"Klok-van Laar, H.",13
,41,"de Ruiter, H.A.",25
,42,"Voordewind, J.S.",60
,43,"Ceder, D.G.M.",572
12 Amsterdam BIJ1,1,"Veldhuyzen, J. A.",4992
,2,"Kabamba, C.K.E.",5008
,3,"Ahmadi, N.",5531
,4,"Bons, A.D.J.",1608
,5,"Landbrug, D.R.",628
,6,"van Dormalen, C.E.M.L",533
,7,"AsbaÃ¢, N",283
,8,"Verkerke, J.E.",282
,9,"Perdok, M.M.",363
,10,"Helmijr, C.I.",87
,11,"Braaksma, A.H.",61
,12,"Bottenheft, E.C.",55
,13,"Segaar, G.T.",107
,14,"Vliet, C. A.",293
,15,"Gambier, G.L.E",420
,16,"Vijzelman, A.C.",254
,17,"Olivieira, J.A.H.",225
,18,"Nauth, N.",139
,19,"Brecher, B.S.",108
,20,"van der Pligt, M.M.",62
,21,"Meulenbelt, A.H.",102
,22,"Burke, U.P.",576
,23,"Sax, M.",85
,24,"Wekker, G.D",821
13 JA21,1,"Nanninga, A.",11821
,2,"Kreuger, K.M.",987
,3,"van Berkel, C.C.J.",131
,4,"de Jong, M.R.",112
,5,"Lelkes, M.G.",32
,6,"Peters, M.",76
,7,"Molema, C.M.",296
,8,"La Grouw, S.",32
,9,"Zandbergen, J.R.",21
,10,"Dekker, D.M.C.",26
,11,"Ashrafie, M.T.",31
,12,"Vencken, R.J.G.P.",15
,13,"Brante, M.C.",36
,14,"Allan, M.A.",75
14 Hart voor Vrijheid Amsterdam,1,"Gietelink, A.C.",1095
,2,"de Haan, S.",413
,3,"Gietelink, H.K.",60
,4,"Lutgens, S.I.",45
,5,"van Koppenhagen, M.A.",178
,6,"Beydals, R.V.",75
,7,"Scheggetman, A.M.",31
,8,"Janssen Steenberg, M.W.H.",46
,9,"Bosch, D.M.I.T.M.G.",52
,10,"Schramade, M.H.",7
,11,"Ferdes, M.O.R.",85
,12,"Vega Nebel, A.A.",24
,13,"Bauer, A.C.",6
,14,"Huijser van Reenen, A.A.C.",17
,15,"Finch, J.M.",72
,16,"Koperdraat, R.P.",28
,17,"AvÅar, D",47
,18,"Dekker, C.J.",31
,19,"Adolfse, V.W.M.M.",7
,20,"Visee, M.",46
,21,"Ayari, J.E.",34
15 De Groenen Basis Piraten,1,"Pontier, M.A.",1835
,2,"van Zwoll, R.M.E.",1131
,3,"Delsing, S.A.M.",399
,4,"Smit, H.R.M.P.",58
,5,"Berendsen, P.",45
,6,"Abendroth, A.M.",126
,7,"Werner, D.R.",30
,8,"Doting, R.",13
,9,"Sadloe, S.",274
,10,"Winkler, D.",56
,11,"SchÃ¶nberger, R.A",56
,12,"Zikking, A.P.A.",101
,13,"Zimmerman, H.K.",100
,14,"Binsbergen, E.",27
,15,"van Riel, E.B.H.",19
,16,"Matenko, R.W.E.",24
,17,"El Hajoui, N.",62
,18,"Ebbink, H.F.",26
,19,"Werner-Wafelman, L.S.",23
,20,"Plesa, B.",21
,21,"Linnenbank, A.C.",12
,22,"Vita, S.",74
,23,"Bakkers, T.F.M.",12
,24,"Klaver, E.T.J.M.",8
,25,"van Houts, G.",35
,26,"Blaak, M.G.M.H.",96
16 GO,1,"Otten, H.",179
,2,"Baljeu, R.J.P.",24
,3,"de Vries, J.W.E.",16
17 De Republikeinse Politieke Partij,1,"Felter, D.A.",108
18 St3m,1,"Swart, F.",1183
,2,"van Vliet, B.B.",142
,3,"van Emmerik, A.A.P.",22
,4,"Romkema, F.L.",21
,5,"Verberne, C.F.",24
,6,"Kerkhoff, M.D.P.",3
,7,"Nollen, R.M.",44
,8,"Burger, J.E.J.M.",9
,9,"Willemsen, S.A.",24
,10,"Vlug, J.A.",5
,11,"Kuiper, I.C.",11
,12,"Bruining, I.",8
,13,"Drager, T.J.D.",7
,14,"Nessen, P.D.",11
,15,"van Eunen, R.",16
,16,"Stins, C.S.",50
,17,"Veltman, M.J.",11
,18,"Petri, M.",26
19 50PLUS,1,"Beving, P.R.",1246
,2,"Stulemeijer, H.J.F.X.P.",179
,3,"Maarschalk Meijer, E.M.N.",322
,4,"Dissels, J.",138
,5,"de Wolff, F.A.H.",57
,6,"Faassen, A.G.",55
20 Staatkundig Gereformeerde Partij (SGP),1,"van Spronsen, M.D.J.",202
,2,"Nas, J.N.",15
,3,"Logtenberg, A.A.",11
,4,"van der Wal, D.",9
,5,"Westerman, M.",2
,6,"Marck, A.J.T.",39
,7,"Keijser, R.L.J.",6
,8,"GrÃ¤tz, T",16
"21 Blanco (Chan, K.K.)",1,"Chan, K.K.",297
,2,"de Leen, C.",49
22 DE FEESTPARTIJ (DFP),1,"ï¿½resin, D.M.",317
,2,"Muntz, R.I.",104
23 Belang van Nederland (BVNL),1,"Heilbron, R.E.H.",802
,2,"Visser, M.",297
,3,"Jansen, M.P.G.",24
,4,"van Steen, R.",19
,5,"van der Linden, C.J.",7
,6,"Killian, Y.M.",42
,7,"van Kassel, P.",50
,8,"Wienholts, E.G.H.J.",4
,9,"Weeseman, C.",36
,10,"Bauduin, D.V.F.J.",2
,11,"Ephraim, O.R.",10
,12,"van Haga, W.R.",463
24 Democratisch Socialisten Amsterdam,1,"Hartog, B.F.",531
,2,"Langedijk-Lynch, F.",461
,3,"Schreuders, D.",102
,4,"Overdijk, D.J.",42
,5,"Lovera Rivas, J.H.E.",39
,6,"van Rijswijk, H.",90
,7,"Proos, T.S.L.",16
,8,"Rinkens, R.J.C.",45
,9,"van Eck, C.M.H.",15
,10,"Wiegers, L.H.T.",5
,11,"Garzon Florez, D.A.",8
,12,"Abdul, M.Y.",57
,13,"Kracht, I.",10
,14,"van Horn, T.N.",3
,15,"Zonneveld, J.J.F.M.",17
,16,"Kalma, P.D.B.",2
,17,"Visser, G.P.",6
,18,"van Schaik, G.J.",0
,19,"Spier, J.",23
