track_name,artist(s)_name,released_date (yyyy-mm),streams
We Found Love,"Rihanna, Calvin Harris",2011-1,1235005533
When I Was Your Man,Bruno Mars,2012-12,1661187319
Let Me Down Slowly,Alec Benjamin,2018-5,1374581173
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",2023-6,94186466
Do I Wanna Know?,Arctic Monkeys,2013-1,1788326445
Demons,Imagine Dragons,2012-1,1840364617
ýýýýýýýýýýýý,YOASOBI,2023-4,143573775
Reminder,The Weeknd,2016-11,684675814
Shake It Off,Taylor Swift,2014-1,1113838873
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013-1,1267333350
SNAP,Rosa Linn,2022-3,726307468
Shape of You,Ed Sheeran,2017-1,3562543890
Night Changes,One Direction,2014-11,1131090940
Fin de Semana,"Oscar Maydon, Junior H",2023-1,307370144
Creep,Radiohead,1992-9,1271293243
Car's Outside,James Arthur,2019-10,265882712
Apocalypse,Cigarettes After Sex,2017-3,841749534
Cheques,Shubh,2023-5,47956378
Pink + White,Frank Ocean,2016-8,806397070
Circles,Post Malone,2019-8,2132335812
Just The Way You Are,Bruno Mars,2010-1,1641426668
Take Me To Church,Hozier,2013-9,2135158446
Bebe Dame,"Fuerza Regida, Grupo Frontera",2022-12,367316268
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2021-4,350381515
Titi Me Preguntï¿,Bad Bunny,2022-5,1264310836
Better Than Revenge (Taylor's Version),Taylor Swift,2023-7,30343206
Shut up My Moms Calling,Hotel Ugly,2020-2,405136812
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1968-7,1145727611
Es un Secreto,Plan B,2010-7,540654286
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",2023-6,57312735
Ditto,NewJeans,2022-12,397582059
Take On Me,a-ha,1984-10,1479115056
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",2023-6,86773632
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",2023-5,133753727
Acrï¿½ï¿½s,Shakira,2023-5,123124076
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",2022-11,463564958
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",2023-5,64533040
S-Class,Stray Kids,2023-6,65496046
Hits Different,Taylor Swift,2023-5,68616963
Chanel,"Becky G, Peso Pluma",2023-3,161460990
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2023-6,70106975
Area Codes,"Kaliii, Kaliii",2023-3,113509496
Abcdario,"Junior H, Eden Muï¿½ï",2023-5,89933133
Obsessed,"Abhijay Sharma, Riar Saab",2022-9,71007139
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2023-6,43522589
FLOWER,JISOO,2023-3,232896922
