track_name,artist(s)_name,released_date (yyyy-mm),streams
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",2022-7,85924992
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",2022-6,176103902
La Loto,"Anitta, Tini, Becky G",2022-7,121189256
die first,Nessa Barrett,2022-6,131746175
Afraid To Feel,LF System,2022-5,244790012
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",2022-6,129314708
cï¿½ï¿½mo dormi,Rels B,2022-8,331511413
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",2022-8,219196651
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",2022-8,170732845
Caile,Luar La L,2020-12,273914335
Si Te La Encuentras Por Ahï¿,Feid,2022-8,179061440
GIVENCHY,Duki,2022-7,185236961
ALIEN SUPERSTAR,Beyoncï¿,2022-7,171788484
Mary On A Cross,Ghost,2019-9,387080183
Attention,NewJeans,2022-8,264717480
THE SHADE,Rex Orange County,2022-3,244928911
"Come Back Home - From ""Purple Hearts""",Sofia Carson,2022-7,97610446
El Rescate,"Grupo Marca Registrada, Junior H",2022-7,287278853
Heartless,Kanye West,2008-1,887906111
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",2022-7,123473120
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2022-8,295152154
JGL,"Luis R Conriquez, La Adictiva",2022-2,323455692
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",2022-6,240918092
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",2022-5,191873381
Hold Me Closer,"Elton John, Britney Spears",2017-11,284216603
Forget Me,Lewis Capaldi,2022-9,239411309
After LIKE,IVE,2022-8,265548837
Bound 2,Kanye West,2013-1,703301727
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2022-6,244585109
Talk that Talk,TWICE,2022-8,189476119
BILLIE EILISH.,Armani White,2022-1,277132266
Ferxxo 100,Feid,2022-6,278920007
KU LO SA - A COLORS SHOW,Oxlade,2022-6,222410722
Prohibidox,Feid,2022-9,185392587
Static,Steve Lacy,2022-7,202452860
The Scientist,Coldplay,2002-8,1608164312
Sparks,Coldplay,2000-7,624101957
Talk,YEAT,2022-9,148461629
XQ Te Pones Asï¿,"Yandel, Feid",2022-9,47093942
Selfish,PnB Rock,2016-6,380319238
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2022-7,209106362
Lady Mi Amor,Feid,2022-9,53987404
Poland,Lil Yachty,2022-6,115331792
THE LONELIEST,Mï¿½ï¿½ne,2022-10,225093344
Bye Bye,"Marshmello, Juice WRLD",2022-10,84697729
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",2022-8,159240673
Nxde,(G)I-DLE,2022-10,170709584
Miss You,Southstar,1982-5,154356956
we fell in love in october,girl in red,2018-11,723043854
2 Be Loved (Am I Ready),Lizzo,2022-7,247689123
Celestial,Ed Sheeran,2022-9,176474912
Typa Girl,BLACKPINK,2022-9,235549288
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2020-12,140430339
California Breeze,Lil Baby,2022-10,85559365
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",2022-9,146223492
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",2022-7,187701588
Major Distribution,"Drake, 21 Savage",2022-11,154863153
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",2022-11,191333656
Vigilante Shit,Taylor Swift,2022-10,253650850
Question...?,Taylor Swift,2022-10,223064273
On BS,"Drake, 21 Savage",2022-11,170413877
Mastermind,Taylor Swift,2022-10,218320587
Circo Loco,"Drake, 21 Savage",2022-11,141720999
Labyrinth,Taylor Swift,2022-10,187339835
Spin Bout U,"Drake, 21 Savage",2022-11,198365537
Sweet Nothing,Taylor Swift,2022-10,186104310
"Would've, Could've, Should've",Taylor Swift,2022-10,177503916
Con La Brisa,"Ludwig Goransson, Foudeqush",2022-11,71095708
Privileged Rappers,"Drake, 21 Savage",2022-11,112436403
The Astronaut,Jin,2022-10,203436468
BackOutsideBoyz,Drake,2022-11,93367537
Broke Boys,"Drake, 21 Savage",2022-11,106249219
The Great War,Taylor Swift,2022-10,181382590
My Mind & Me,Selena Gomez,2022-11,91473363
Bigger Than The Whole Sky,Taylor Swift,2022-10,121871870
A Veces (feat. Feid),"Feid, Paulo Londra",2022-11,73513683
En La De Ella,"Feid, Sech, Jhayco",2022-10,133895612
Alone,Burna Boy,2022-11,96007391
